"","vmpfc_cd","vmpfc_m","vmpfc_rd","vs_cd","vs_rd","dmpfc_cd","lfp_cd","left_vs_roi_rwd","left_vs_roi_rwd_d"
"1",0.280091765441301,0.0588860053725734,-0.110962198729207,-0.130486197118576,0.0719491555352938,0.658605817851892,0.340748956719772,0.0610977304066525,-0.0326080556384907
"2",-0.168623972231754,0.154379832975589,-0.13055516373549,-0.0267381988185717,-0.0702081260052446,0.187651439676,-0.236717575937714,0.166874483002645,-0.0938225658109932
"3",-0.138766237704864,0.0795786372238635,-0.233135493742588,-0.135368368412797,-0.148904073866768,0.150561677751184,0.302141996798746,0.123451893095497,-0.180932259408176
"4",0.152755591076826,-0.0767192770300856,0.00474316892563196,0.155748892288688,-0.00175578986564074,0.1468751618568,0.200805181317418,0.00703867585708151,0.0267775799782147
"5",-0.657537011465055,0.134864472814822,-0.292464549380969,-0.101457027299446,-0.151516937028215,0.660929447744841,0.79922598849094,0.328032230893016,-0.0966266149106949
"6",-0.0614320318529643,0.214430092654994,-0.226300738333004,0.162021688603509,0.102695769988644,0.219564001426824,0.290149971792916,0.0558446831433895,0.0682977183414326
"7",-0.508306458703794,0.324922363123679,-0.303445817256143,-0.273416336018585,-0.28449678808747,0.644881695838551,0.640368793417265,0.0734841055130637,-0.120727574873094
"8",0.197598384133814,0.594089423592989,-0.0928958309537967,0.143725442716541,-0.207229642695932,0.633182011482491,0.412352840263664,0.0415329253730031,-0.220686297112972
"9",-0.326979921943513,0.127311018590413,-0.0894835823446296,-0.162096752441557,-0.0586413834742072,0.251446446535502,0.0812068081727591,0.164074400226889,-0.0560649092271992
"10",-0.0286977814991455,0.228332170294756,-0.0327354788337684,0.242390940281465,-0.080695209103423,0.735267940046743,1.41279008419808,0.12795497119262,-0.0333781668097264
"11",-0.365352114673167,-0.0285820926055941,0.126491284892039,-0.278328845856578,-0.0422399267177731,-0.038582817349037,0.0985525815050029,0.0380037930542871,-0.042625129195502
"12",-0.526621906750282,-0.0816228246019641,0.0230727104993348,-0.226458067654311,-0.117353236584409,0.265769379829743,0.26400795983251,-0.0204332541956338,0.0010759570187666
"13",-0.589185298356379,0.367621851291596,-0.307913868751432,-0.352603485837993,-0.189868599308413,0.139384758405124,-0.0208237407626097,0.24092477635337,-0.153983363592905
"14",-0.356842211376792,0.0556118998089749,-0.283197055527079,-0.195103725173983,-0.0069717761045853,0.299098486358558,0.10710995300113,0.0395498590410493,0.0451963702771991
"15",0.359547058597425,-0.0647756642787191,-0.0589675100190371,0.231491802106065,-0.205749683310249,0.0636945420491145,-0.0949918813329289,0.159893064951131,-0.165283239005574
"16",-0.169752971025168,-0.0498281223893521,-0.137075192581757,0.16305668735159,0.106038158265073,0.717190169570491,0.196278269288626,0.112648628832541,0.0657033083951656
"17",-0.406160138939939,0.188257481679548,-0.233282165915966,-0.28469377575233,-0.189302365581646,0.0982792431327632,0.379279237263368,0.0591042080948058,-0.242207673593307
"18",-0.33612462190146,-0.0143334565465707,-0.359808999294294,-0.130124390067514,-0.0756589734140205,0.208239851757631,0.622300312143437,0.041347090584006,-0.0692224136438712
"19",-0.162422779146693,-0.130683578102801,-0.0340842993696061,0.136625291585561,0.0866124934095308,0.546302364456106,0.682853483571525,0.0403383012563622,-0.0332389870885585
"20",0.115284109859166,-0.0785894772282326,-0.118701776324685,0.122133822603133,-0.0926164878862272,0.319174350521891,0.213397980346345,0.0999875962256231,-0.0947032631851861
"21",-0.0922519337708838,0.0379207806278942,-0.0675195375158032,-0.0352189059455405,-0.148154011530003,0.392210275183004,0.180497734990666,0.0267298802286287,-0.0748484809354294
"22",-0.370748081434659,-0.0737769322911798,-0.0115119717056906,-0.110961411822068,0.0696177046373089,-0.0261286479519212,-0.0911366799305791,0.0242819810342218,-0.0251328736842761
