"","dmpfc_cd","dmpfc_rd","amy_rd","amy_cd","vs_roi_rd","vs_roi_cd"
"1",0.658605817851892,0.498330141210549,-0.119259950534024,-0.058985830271817,-0.00467367938361713,-0.0226446882545882
"2",0.187651439676,0.0982191562644,-0.0770255560765143,-0.109251379099886,-0.0966346440331581,-0.0737303640029539
"3",0.150561677751184,-0.162867299549942,-0.126286947493428,-0.159539469578097,-0.166569740805908,-0.213903018050885
"4",0.1468751618568,0.250636074674565,0.0048083327535569,-0.145795968371271,0.0351320080331215,0.149932386254362
"5",0.660929447744841,0.187014267849314,-0.0791729558583014,-0.256409486528083,-0.137364850253663,-0.187505736508984
"6",0.219564001426824,-0.184728071049524,-0.218300557772853,0.0488610129322228,0.10953743699259,0.306916328480638
"7",0.644881695838551,0.0662788139582759,-0.0522360018786963,-0.240945500817226,-0.279828548415127,-0.601122718692061
"8",0.633182011482491,0.408079635509467,-0.175900777892889,-0.138758606084336,-0.301178763622451,-0.0164090634874031
"9",0.251446446535502,0.127228432131625,-0.0470526111701048,-0.0692131406862476,-0.0705802302711814,-0.243913480391524
"10",0.735267940046743,0.0901579564552979,-0.0400778786479733,-0.335311364665143,-0.0655029851250984,0.134304102136688
"11",-0.038582817349037,0.0628587477005235,0.00755828471918586,-0.0398619572082909,-0.0197025925352379,-0.359418893192878
"12",0.265769379829743,0.235297537481647,0.158633438262489,-0.290570309094696,-0.0426786090499343,-0.219171935315649
"13",0.139384758405124,0.221292207991588,-0.0489052862131046,-0.0227270990669423,-0.198768826234912,-0.347669225675483
"14",0.299098486358558,0.0745483166997341,-0.0747315877247537,-0.0572527329418128,0.00720624922982522,-0.201713225396045
"15",0.0636945420491145,-0.0695218767529231,-0.0877330312973298,0.0519350430193412,-0.2068296658705,0.249003527104429
"16",0.717190169570491,0.633491833454412,0.0137944179854843,-0.194476724431859,0.109813771908597,0.00101642273422047
"17",0.0982792431327632,0.268180296772745,-0.176690551884744,-0.317801149150277,-0.191406270014554,-0.321866183102691
"18",0.208239851757631,0.160287631095084,-0.100068695274294,-0.348698311238508,-0.106313982878063,-0.144022695550301
"19",0.546302364456106,0.174860007897477,-0.0464774202056086,-0.34076462482264,0.0308983449224852,0.201926623143717
"20",0.319174350521891,0.344704595965109,-0.0890684966546692,-0.0693348936706314,-0.127346875705867,0.0873000100483564
"21",0.392210275183004,0.306875474211697,-0.0958581314889087,-0.0475838509127746,-0.12148801611874,-0.0508783596631574
"22",-0.0261286479519212,0.168903319578511,0.0153592434049542,-0.109341095511511,0.016937459910953,-0.0567513496482426
