"","lr","tau","m"
"1",0.379008688601677,3.18091719653384,3.18091719653384
"2",0.369653659934258,7.11397104837011,7.11397104837011
"3",0.505796584421208,2.18988534081565,2.18988534081565
"4",0.730059652430813,2.28241582392134,2.28241582392134
"5",0.492669116183495,3.00270427073214,3.00270427073214
"6",0.463968659603894,1.94444540770776,1.94444540770776
"7",0.706462095800459,0.740002128160571,0.740002128160571
"8",0.42474003611504,4.30617666278906,4.30617666278906
"9",0.43997989228978,1.76811011054801,1.76811011054801
"10",0.687917732886506,3.4804696262729,3.4804696262729
"11",0.654148711630822,2.42183537727833,2.42183537727833
"12",0.28663262383718,4.99101304821046,4.99101304821046
"13",0.444785315126438,2.14728947168776,2.14728947168776
"14",0.608245979393194,2.53224909302649,2.53224909302649
"15",0.527745662300546,2.35411145223243,2.35411145223243
"16",0.750567766197899,1.89877563453073,1.89877563453073
"17",0.570952083044177,2.70412251842177,2.70412251842177
"18",0.563056904603369,4.14983783187001,4.14983783187001
"19",0.665242933496401,3.1832675814294,3.1832675814294
"20",0.226344444098028,3.79345791292428,3.79345791292428
"21",0.611392127691249,3.20803242483518,3.20803242483518
"22",0.822831988872947,1.8213988592266,1.8213988592266
"23",0.62852974713381,2.35395581192575,2.35395581192575
"24",0.527247116258673,0.976287966946533,0.976287966946533
"25",0.466658150362503,2.66512757425216,2.66512757425216
"26",0.447416332337517,1.9134455567333,1.9134455567333
"27",0.466988497419967,2.66360195061078,2.66360195061078
"28",0.352117246815488,3.06489713363003,3.06489713363003
"29",0.185621439075188,5.22991873198254,5.22991873198254
"30",0.597695887089596,0.832583855418606,0.832583855418606
"31",0.185258981043106,5.23114370560847,5.23114370560847
"32",0.385535757911891,0.80978407367018,0.80978407367018
"33",0.705083821639138,2.30842212595385,2.30842212595385
"34",0.421532572277978,2.38643404677615,2.38643404677615
